Exposure,Group,Level,CATE
ILLYR_bin,pregnancy,0.0,0.14609681853281473
ILLYR_bin,pregnancy,1.0,0.15264426884016258
ILLYR_bin,income_tercile,"(0.999, 2.0]",0.16215969357314952
ILLYR_bin,income_tercile,"(2.0, 3.0]",0.14662442328601819
ILLYR_bin,income_tercile,"(3.0, 4.0]",0.11612597441964106
ILLYR_bin,race,1,0.14394577786867277
ILLYR_bin,race,2,0.14264781490295658
ILLYR_bin,race,3,0.1251196670371607
ILLYR_bin,race,4,0.13340012629954423
ILLYR_bin,race,5,0.14600523391866788
ILLYR_bin,race,6,0.1389020334322789
ILLYR_bin,race,7,0.15559342251264313
PNRNMYR_bin,pregnancy,0.0,0.052887719565155915
PNRNMYR_bin,pregnancy,1.0,0.07906122640733201
PNRNMYR_bin,income_tercile,"(0.999, 2.0]",0.05824660681429008
PNRNMYR_bin,income_tercile,"(2.0, 3.0]",0.08813350959784008
PNRNMYR_bin,income_tercile,"(3.0, 4.0]",0.0315508245433867
PNRNMYR_bin,race,1,0.06421274494535073
PNRNMYR_bin,race,2,0.08072166926455328
PNRNMYR_bin,race,3,0.13324901487849738
PNRNMYR_bin,race,4,0.14292727685521375
PNRNMYR_bin,race,5,0.0651528951217186
PNRNMYR_bin,race,6,0.027301951228026398
PNRNMYR_bin,race,7,0.01727125137057109
STMNMYR_bin,pregnancy,0.0,0.1130502599505103
STMNMYR_bin,pregnancy,1.0,0.06513092866577153
STMNMYR_bin,income_tercile,"(0.999, 2.0]",0.12355071418023843
STMNMYR_bin,income_tercile,"(2.0, 3.0]",0.07127622302395648
STMNMYR_bin,income_tercile,"(3.0, 4.0]",0.10507862077446076
STMNMYR_bin,race,1,0.10612830905745052
STMNMYR_bin,race,2,0.062391342286139656
STMNMYR_bin,race,3,0.05087172442405004
STMNMYR_bin,race,4,0.06600142751152499
STMNMYR_bin,race,5,0.10842684972054645
STMNMYR_bin,race,6,0.11037773686960504
STMNMYR_bin,race,7,0.15331347369752457
ALCMON_bin,pregnancy,0.0,78.60298863118298
ALCMON_bin,pregnancy,1.0,29.257460875455333
ALCMON_bin,income_tercile,"(0.999, 2.0]",-58.93508968988088
ALCMON_bin,income_tercile,"(2.0, 3.0]",357.70972524091883
ALCMON_bin,income_tercile,"(3.0, 4.0]",227.96556732874635
ALCMON_bin,race,1,190.90569559858437
ALCMON_bin,race,2,-321.5017463506701
ALCMON_bin,race,3,-389.4158550091177
ALCMON_bin,race,4,-149.36940934032265
ALCMON_bin,race,5,-80.29062614648991
ALCMON_bin,race,6,90.37197808484699
ALCMON_bin,race,7,141.09602679431617
